date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,-0,0.6,3.5,1,26,12:36 PM,10:27 PM,08:10 AM,05:35 PM,0,-3,2,-3,36,89,89,1.8,999,4,6,273,25,Illinois
2019-12-02,2,-2,0.4,7.0,1,33,01:11 PM,11:27 PM,08:11 AM,05:35 PM,-5,-5,-1,-5,21,50,74,0.5,1018,2,9,316,16,Illinois
2019-12-03,7,-1,0.0,7.0,1,41,01:41 PM,No moonset,08:12 AM,05:35 PM,-2,-2,2,-2,26,40,71,0.0,1009,7,10,242,16,Illinois
2019-12-04,6,0,0.0,8.7,2,48,02:07 PM,12:27 AM,08:13 AM,05:35 PM,-1,-2,2,-2,27,13,78,0.0,1010,6,10,287,18,Illinois
2019-12-05,8,1,0.0,8.7,2,55,02:32 PM,01:26 AM,08:14 AM,05:34 PM,1,2,4,2,12,20,82,0.0,1016,8,10,221,8,Illinois
2019-12-06,3,-1,0.0,8.7,1,62,02:56 PM,02:24 AM,08:15 AM,05:34 PM,-3,-3,1,-3,21,27,76,0.0,1026,3,10,82,14,Illinois
2019-12-07,5,-2,0.0,8.7,2,70,03:20 PM,03:24 AM,08:16 AM,05:34 PM,-4,-3,1,-3,21,7,71,0.0,1025,5,10,177,13,Illinois
2019-12-08,8,1,0.0,5.2,2,77,03:46 PM,04:23 AM,08:17 AM,05:34 PM,2,1,5,1,32,51,81,0.0,1012,8,10,200,20,Illinois
2019-12-09,7,-7,0.0,3.4,1,84,04:14 PM,05:25 AM,08:17 AM,05:34 PM,-0,-2,2,-2,24,81,83,1.0,1005,7,5,250,17,Illinois
2019-12-10,-6,-10,0.0,6.9,1,92,04:47 PM,06:29 AM,08:18 AM,05:34 PM,-17,-15,-8,-15,22,21,51,0.0,1024,-6,10,297,17,Illinois
2019-12-11,-3,-9,0.9,8.7,1,99,05:26 PM,07:34 AM,08:19 AM,05:34 PM,-11,-10,-6,-10,13,29,68,1.1,1030,-3,8,167,9,Illinois
2019-12-12,6,-6,0.0,6.9,1,100,06:12 PM,08:39 AM,08:20 AM,05:35 PM,-4,-4,1,-4,35,33,70,0.0,1022,6,10,180,20,Illinois
2019-12-13,4,-2,0.0,6.9,1,87,07:07 PM,09:41 AM,08:21 AM,05:35 PM,-2,-0,1,-0,13,48,82,0.0,1014,4,10,173,8,Illinois
2019-12-14,-3,-7,0.0,6.9,1,79,08:10 PM,10:37 AM,08:22 AM,05:35 PM,-7,-8,-3,-8,24,40,72,0.0,1012,-3,10,292,18,Illinois
2019-12-15,-4,-9,1.3,5.2,1,72,09:19 PM,11:27 AM,08:22 AM,05:35 PM,-14,-10,-7,-10,14,54,59,1.5,1020,-4,9,209,11,Illinois
2019-12-16,-2,-7,0.0,3.4,1,65,10:29 PM,12:09 PM,08:23 AM,05:35 PM,-7,-9,-5,-9,18,71,86,0.0,1023,-2,10,170,13,Illinois
2019-12-17,-1,-7,0.0,8.7,2,58,11:42 PM,12:46 PM,08:24 AM,05:36 PM,-7,-10,-5,-10,27,26,87,0.0,1022,-1,10,283,18,Illinois
