date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,6,2,2.9,4.9,1,26,01:12 PM,11:12 PM,08:46 AM,06:20 PM,3,2,5,2,33,80,86,5.3,998,6,7,229,24,Indiana
2019-12-02,2,-2,0.3,4.9,1,33,01:48 PM,No moonset,08:47 AM,06:20 PM,-2,-5,0,-5,24,86,86,0.4,1014,2,9,309,19,Indiana
2019-12-03,3,-2,0.0,8.2,1,41,02:18 PM,12:11 AM,08:48 AM,06:20 PM,-3,-4,0,-4,17,52,81,0.3,1012,3,10,248,13,Indiana
2019-12-04,6,1,0.0,9.7,2,48,02:46 PM,01:10 AM,08:49 AM,06:20 PM,-2,-2,3,-2,26,24,76,0.0,1008,6,10,275,18,Indiana
2019-12-05,8,2,0.0,9.7,2,55,03:12 PM,02:07 AM,08:50 AM,06:20 PM,-0,3,4,3,10,6,74,0.0,1017,8,10,252,7,Indiana
2019-12-06,6,3,0.0,6.5,2,62,03:37 PM,03:05 AM,08:51 AM,06:20 PM,2,2,5,2,19,58,78,2.1,1022,6,8,127,13,Indiana
2019-12-07,6,0,0.0,9.7,2,70,04:01 PM,04:03 AM,08:52 AM,06:20 PM,-4,-0,3,-0,12,2,64,0.0,1028,6,10,107,9,Indiana
2019-12-08,11,-0,0.0,8.2,2,77,04:28 PM,05:02 AM,08:53 AM,06:20 PM,3,2,6,2,25,65,85,0.1,1018,11,10,188,15,Indiana
2019-12-09,12,7,0.0,4.8,3,84,04:57 PM,06:03 AM,08:54 AM,06:20 PM,9,7,10,7,26,96,91,13.8,1005,12,8,215,17,Indiana
2019-12-10,-3,-5,0.0,9.7,2,92,05:31 PM,07:06 AM,08:55 AM,06:20 PM,-12,-9,-3,-9,21,21,55,0.0,1022,-3,10,286,17,Indiana
2019-12-11,0,-5,0.0,9.7,2,99,06:10 PM,08:10 AM,08:55 AM,06:20 PM,-10,-7,-3,-7,14,13,57,0.0,1032,0,10,229,10,Indiana
2019-12-12,4,-4,0.0,8.2,1,100,06:58 PM,09:14 AM,08:56 AM,06:20 PM,-5,-4,-0,-4,20,30,68,0.0,1030,4,10,153,13,Indiana
2019-12-13,6,-0,0.0,9.6,2,87,07:53 PM,10:16 AM,08:57 AM,06:20 PM,1,0,3,0,17,43,87,0.2,1016,6,9,174,11,Indiana
2019-12-14,6,-1,0.0,8.2,1,79,08:55 PM,11:13 AM,08:58 AM,06:20 PM,1,1,3,1,16,76,86,1.5,1008,6,8,251,11,Indiana
2019-12-15,1,-4,4.8,6.5,1,72,10:03 PM,12:03 PM,08:58 AM,06:21 PM,-6,-5,-1,-5,12,74,71,5.7,1019,1,8,263,10,Indiana
2019-12-16,0,-2,7.8,4.8,1,65,11:13 PM,12:46 PM,08:59 AM,06:21 PM,-1,-6,-1,-6,18,99,97,21.7,1019,0,4,158,12,Indiana
2019-12-17,-1,-8,4.8,9.2,1,58,No moonrise,01:24 PM,09:00 AM,06:21 PM,-4,-9,-4,-9,22,55,94,5.6,1019,-1,7,288,17,Indiana
2019-12-18,-5,-12,0.1,9.2,1,50,12:24 AM,01:57 PM,09:00 AM,06:22 PM,-10,-14,-8,-14,18,46,89,0.1,1026,-5,10,290,12,Indiana
2019-12-19,-0,-13,0.0,8.7,2,43,01:34 AM,02:28 PM,09:01 AM,06:22 PM,-10,-12,-6,-12,18,4,78,0.0,1030,-0,10,198,10,Indiana
2019-12-20,1,-5,0.0,3.5,1,36,02:44 AM,02:58 PM,09:02 AM,06:23 PM,-3,-4,-1,-4,13,50,88,0.0,1032,1,8,201,7,Indiana
2019-12-21,3,-0,0.0,5.2,1,28,03:54 AM,03:29 PM,09:02 AM,06:23 PM,-0,-1,1,-1,12,34,90,0.0,1030,3,7,221,6,Indiana
2019-12-22,8,2,0.0,8.7,2,21,05:03 AM,04:01 PM,09:03 AM,06:23 PM,2,2,4,2,10,1,89,0.0,1027,8,8,201,5,Indiana
2019-12-23,10,4,0.0,8.7,3,14,06:13 AM,04:38 PM,09:03 AM,06:24 PM,4,6,6,6,7,1,85,0.0,1021,10,10,243,4,Indiana
2019-12-24,10,3,0.0,8.7,3,7,07:22 AM,05:20 PM,09:04 AM,06:25 PM,3,5,6,5,10,21,81,0.0,1019,10,10,202,5,Indiana
2019-12-25,13,4,0.0,8.7,3,0,08:27 AM,06:07 PM,09:04 AM,06:25 PM,6,6,8,6,19,7,87,0.0,1016,13,10,190,10,Indiana
2019-12-26,15,11,0.0,5.2,3,0,09:28 AM,07:00 PM,09:04 AM,06:26 PM,12,11,13,11,23,74,94,0.4,1018,15,10,201,14,Indiana
2019-12-27,10,5,0.0,7.0,2,0,10:20 AM,07:57 PM,09:05 AM,06:27 PM,6,8,9,8,15,60,81,0.2,1023,10,10,258,10,Indiana
2019-12-28,12,3,0.0,5.2,2,8,11:06 AM,08:57 PM,09:05 AM,06:27 PM,6,6,8,6,19,53,88,0.3,1020,12,10,115,12,Indiana
2019-12-29,15,11,0.0,3.5,3,15,11:45 AM,09:57 PM,09:05 AM,06:28 PM,13,13,14,13,30,92,92,24.8,1006,15,8,171,19,Indiana
2019-12-30,3,1,0.0,3.5,1,22,12:18 PM,10:57 PM,09:06 AM,06:29 PM,0,-2,4,-2,31,93,79,10.7,1004,3,5,223,24,Indiana
2019-12-31,1,-1,0.0,3.5,1,26,12:47 PM,11:55 PM,09:06 AM,06:29 PM,-3,-7,-0,-7,31,93,79,0.5,1010,1,6,255,25,Indiana
2020-01-01,3,-2,0.0,8.7,2,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-5,-4,0,-4,20,6,70,0.0,1014,3,10,238,14,Indiana
2020-01-02,7,3,0.0,3.5,2,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,3,1,5,1,27,57,84,4.1,1008,7,10,193,16,Indiana
2020-01-03,10,8,0.0,3.5,2,51,02:03 PM,01:51 AM,09:06 AM,06:32 PM,8,8,9,8,8,100,97,18.7,1004,10,6,173,5,Indiana
2020-01-04,4,0,0.9,3.5,1,59,02:28 PM,02:48 AM,09:06 AM,06:33 PM,0,-0,3,-0,18,98,82,2.7,1013,4,5,315,14,Indiana
2020-01-05,6,-1,0.0,8.7,2,66,02:56 PM,03:48 AM,09:06 AM,06:34 PM,-3,-2,2,-2,27,16,70,0.0,1019,6,10,252,19,Indiana
2020-01-06,5,-1,0.0,7.0,1,73,03:27 PM,04:49 AM,09:06 AM,06:35 PM,-6,-0,2,-0,13,19,59,0.0,1021,5,10,261,9,Indiana
2020-01-07,4,1,0.0,7.0,1,80,04:03 PM,05:52 AM,09:06 AM,06:36 PM,-5,-1,1,-1,16,47,60,0.0,1019,4,10,230,12,Indiana
2020-01-08,1,-3,0.0,8.7,2,88,04:47 PM,06:56 AM,09:06 AM,06:37 PM,-12,-4,-1,-4,18,17,43,0.0,1028,1,10,238,13,Indiana
2020-01-09,10,-1,0.0,5.2,2,95,05:39 PM,08:00 AM,09:06 AM,06:38 PM,-3,0,4,0,34,64,60,0.8,1025,10,10,168,22,Indiana
2020-01-10,13,6,0.0,3.5,3,100,06:39 PM,09:00 AM,09:06 AM,06:39 PM,9,8,10,8,38,100,89,8.1,1019,13,9,192,24,Indiana
2020-01-11,18,10,0.0,3.5,4,100,07:47 PM,09:55 AM,09:05 AM,06:40 PM,13,15,16,15,44,95,85,11.0,1006,18,8,180,28,Indiana
2020-01-12,3,-2,0.0,3.5,1,83,08:59 PM,10:42 AM,09:05 AM,06:41 PM,-1,-1,2,-1,16,97,76,1.7,1020,3,10,232,13,Indiana
2020-01-13,8,-0,0.0,8.7,3,76,10:12 PM,11:23 AM,09:05 AM,06:42 PM,3,3,5,3,13,47,83,0.0,1025,8,10,198,8,Indiana
2020-01-14,10,4,0.0,8.7,2,69,11:25 PM,11:59 AM,09:05 AM,06:43 PM,4,4,6,4,17,41,87,0.0,1021,10,8,205,11,Indiana
2020-01-15,11,4,0.0,5.3,2,61,No moonrise,12:31 PM,09:04 AM,06:44 PM,5,5,7,5,21,46,91,0.1,1018,11,8,191,13,Indiana
2020-01-16,0,-3,0.0,7.0,1,54,12:35 AM,01:01 PM,09:04 AM,06:45 PM,-9,-6,-1,-6,22,25,54,0.0,1034,0,10,307,17,Indiana
2020-01-17,0,-4,0.2,3.5,1,47,01:46 AM,01:32 PM,09:03 AM,06:46 PM,-11,-7,-2,-7,20,61,52,0.3,1038,0,10,113,15,Indiana
