date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,34,10,0.0,13.9,7,26,09:52 AM,11:51 PM,05:38 AM,07:26 PM,-0,22,22,23,28,7,27,0.0,1011,34,10,221,17,Kentucky
2019-12-02,36,14,0.0,13.9,7,33,10:47 AM,No moonset,05:38 AM,07:26 PM,1,24,24,24,29,10,26,0.0,1010,36,10,217,22,Kentucky
2019-12-03,29,11,0.0,13.9,6,41,11:42 AM,12:29 AM,05:38 AM,07:27 PM,3,20,20,19,40,4,37,0.0,1015,29,10,184,31,Kentucky
2019-12-04,31,12,0.0,13.9,7,48,12:34 PM,01:05 AM,05:38 AM,07:28 PM,-5,23,23,23,48,0,20,0.0,1016,31,10,118,34,Kentucky
2019-12-05,32,18,0.0,13.9,7,55,01:27 PM,01:38 AM,05:38 AM,07:29 PM,3,26,26,26,39,7,26,0.0,1011,32,10,63,26,Kentucky
2019-12-06,34,19,0.0,13.9,7,62,02:18 PM,02:08 AM,05:38 AM,07:29 PM,10,27,27,27,23,5,43,0.0,1010,34,10,149,16,Kentucky
2019-12-07,34,19,0.0,13.9,7,70,03:10 PM,02:39 AM,05:38 AM,07:30 PM,3,27,27,27,19,5,24,0.0,1008,34,10,199,13,Kentucky
2019-12-08,35,14,0.0,13.9,7,77,04:04 PM,03:10 AM,05:38 AM,07:31 PM,1,26,26,27,31,21,22,0.0,1008,35,10,209,22,Kentucky
2019-12-09,32,17,0.0,13.9,7,84,04:59 PM,03:43 AM,05:38 AM,07:31 PM,5,24,24,25,29,13,31,0.0,1009,32,10,209,22,Kentucky
2019-12-10,33,15,0.0,13.9,7,92,05:56 PM,04:19 AM,05:39 AM,07:32 PM,3,23,23,24,26,3,30,0.2,1010,33,10,223,20,Kentucky
2019-12-11,33,13,0.0,13.9,7,99,06:56 PM,04:59 AM,05:39 AM,07:33 PM,0,22,22,23,23,1,28,0.0,1012,33,10,247,16,Kentucky
2019-12-12,33,12,0.0,14.0,7,100,07:56 PM,05:44 AM,05:39 AM,07:34 PM,2,23,23,24,26,1,31,0.0,1012,33,10,234,18,Kentucky
2019-12-13,35,13,0.0,14.0,7,87,08:56 PM,06:35 AM,05:39 AM,07:34 PM,4,23,23,24,28,1,35,0.0,1011,35,10,233,20,Kentucky
2019-12-14,32,12,0.0,14.0,7,79,09:53 PM,07:33 AM,05:40 AM,07:35 PM,7,21,21,21,29,2,45,0.0,1014,32,10,223,21,Kentucky
2019-12-15,28,12,0.0,14.0,6,72,10:44 PM,08:34 AM,05:40 AM,07:35 PM,-2,19,19,18,29,0,35,0.0,1018,28,10,180,21,Kentucky
2019-12-16,35,11,0.0,14.0,7,65,11:32 PM,09:39 AM,05:40 AM,07:36 PM,-8,22,22,23,28,0,17,0.0,1012,35,10,161,17,Kentucky
2019-12-17,37,16,0.0,14.0,8,58,No moonrise,10:44 AM,05:41 AM,07:37 PM,-6,26,26,27,25,0,15,0.0,1007,37,10,245,19,Kentucky
2019-12-18,29,10,0.0,14.0,6,50,12:14 AM,11:48 AM,05:41 AM,07:37 PM,5,18,18,18,28,4,50,0.0,1012,29,10,252,22,Kentucky
2019-12-19,30,7,0.0,14.0,6,43,12:54 AM,12:51 PM,05:41 AM,07:38 PM,2,18,18,19,20,1,44,0.0,1013,30,10,209,14,Kentucky
