date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-1,-6,14.8,7.0,1,26,12:20 PM,10:05 PM,07:56 AM,05:16 PM,-9,-7,-3,-7,13,48,66,17.4,1014,-1,7,148,9,Massachusetts
2019-12-02,-1,-4,4.3,3.6,1,33,12:55 PM,11:06 PM,07:57 AM,05:16 PM,-2,-8,-2,-8,42,99,95,24.8,1002,-1,1,46,26,Massachusetts
2019-12-03,-1,-4,8.5,5.3,1,41,01:24 PM,No moonset,07:58 AM,05:16 PM,-5,-9,-3,-9,29,65,86,10.0,996,-1,5,218,18,Massachusetts
2019-12-04,1,-5,0.1,3.6,1,48,01:51 PM,12:06 AM,07:59 AM,05:15 PM,-3,-6,-2,-6,18,78,91,0.3,999,1,8,252,11,Massachusetts
2019-12-05,0,-4,0.0,8.7,2,55,02:14 PM,01:05 AM,08:00 AM,05:15 PM,-4,-6,-1,-6,26,38,86,0.0,1004,0,8,279,17,Massachusetts
2019-12-06,0,-5,0.1,5.2,1,62,02:38 PM,02:04 AM,08:01 AM,05:15 PM,-5,-7,-3,-7,19,39,82,0.2,1017,0,8,270,13,Massachusetts
2019-12-07,-2,-7,0.0,8.7,2,70,03:02 PM,03:04 AM,08:02 AM,05:15 PM,-7,-8,-4,-8,16,13,82,0.1,1025,-2,10,295,11,Massachusetts
2019-12-08,-2,-9,0.0,6.9,1,77,03:27 PM,04:05 AM,08:03 AM,05:15 PM,-7,-8,-4,-8,14,15,80,0.0,1031,-2,10,234,10,Massachusetts
2019-12-09,10,2,0.0,3.4,2,84,03:54 PM,05:07 AM,08:04 AM,05:15 PM,6,4,7,4,30,92,97,23.1,1017,10,7,201,16,Massachusetts
2019-12-10,11,2,0.9,3.4,2,92,04:26 PM,06:11 AM,08:05 AM,05:15 PM,8,6,9,6,40,88,93,11.5,1009,11,8,243,23,Massachusetts
2019-12-11,-1,-4,10.9,6.9,1,99,05:04 PM,07:17 AM,08:06 AM,05:15 PM,-4,-6,-2,-6,16,40,86,13.8,1023,-1,7,273,11,Massachusetts
2019-12-12,-2,-8,0.0,8.7,2,100,05:50 PM,08:22 AM,08:07 AM,05:15 PM,-9,-8,-5,-8,15,5,75,0.0,1037,-2,10,265,11,Massachusetts
2019-12-13,4,-4,0.0,3.4,1,87,06:44 PM,09:25 AM,08:07 AM,05:15 PM,-1,-2,0,-2,11,73,88,1.8,1030,4,8,153,7,Massachusetts
2019-12-14,13,6,0.0,3.4,3,79,07:47 PM,10:21 AM,08:08 AM,05:16 PM,9,7,9,7,25,98,97,39.7,998,13,6,105,14,Massachusetts
2019-12-15,4,-4,0.1,8.7,1,72,08:56 PM,11:11 AM,08:09 AM,05:16 PM,-3,-4,1,-4,43,33,72,0.2,1003,4,10,259,28,Massachusetts
2019-12-16,0,-5,0.0,8.7,2,65,10:07 PM,11:53 AM,08:09 AM,05:16 PM,-11,-6,-2,-6,23,31,53,0.0,1022,0,10,264,16,Massachusetts
2019-12-17,-3,-5,5.4,3.4,1,58,11:20 PM,12:29 PM,08:10 AM,05:16 PM,-7,-7,-3,-7,18,99,79,11.7,1012,-3,5,225,11,Massachusetts
2019-12-18,0,-9,2.6,5.2,1,50,No moonrise,01:01 PM,08:11 AM,05:17 PM,-7,-9,-4,-9,23,46,81,3.0,1008,0,7,288,14,Massachusetts
2019-12-19,-9,-14,0.0,8.7,2,43,12:32 AM,01:30 PM,08:11 AM,05:17 PM,-17,-20,-11,-20,34,13,62,0.0,1021,-9,10,291,24,Massachusetts
2019-12-20,-4,-10,0.0,8.7,2,36,01:44 AM,01:58 PM,08:12 AM,05:18 PM,-12,-14,-8,-14,19,1,68,0.0,1032,-4,10,307,14,Massachusetts
2019-12-21,-1,-7,0.0,5.2,1,28,02:55 AM,02:27 PM,08:12 AM,05:18 PM,-7,-6,-4,-6,8,42,80,0.0,1035,-1,9,223,5,Massachusetts
2019-12-22,3,-4,0.0,8.7,2,21,04:06 AM,02:58 PM,08:13 AM,05:19 PM,-4,-4,-0,-4,19,21,79,0.0,1024,3,10,244,11,Massachusetts
2019-12-23,8,1,0.0,8.7,2,14,05:18 AM,03:33 PM,08:13 AM,05:19 PM,2,1,4,1,28,15,83,0.0,1016,8,10,257,16,Massachusetts
2019-12-24,3,-1,0.0,8.7,2,7,06:28 AM,04:13 PM,08:14 AM,05:20 PM,-3,-3,1,-3,14,17,77,0.0,1019,3,10,308,9,Massachusetts
2019-12-25,3,-2,0.0,5.2,1,0,07:35 AM,04:59 PM,08:14 AM,05:20 PM,-3,-1,-0,-1,9,44,79,0.0,1023,3,10,174,6,Massachusetts
