date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,5,2,0.0,3.6,1,26,12:20 PM,10:09 PM,07:55 AM,05:18 PM,3,-0,4,-0,37,87,92,23.4,997,5,6,224,25,Michigan
2019-12-02,2,1,0.8,3.6,1,33,12:55 PM,11:10 PM,07:56 AM,05:18 PM,-1,-4,1,-4,37,95,85,1.8,1014,2,4,334,29,Michigan
2019-12-03,3,-1,0.1,7.0,1,41,01:25 PM,No moonset,07:57 AM,05:18 PM,-2,-4,1,-4,28,55,78,0.2,1009,3,8,244,21,Michigan
2019-12-04,4,1,0.0,8.7,2,48,01:51 PM,12:09 AM,07:58 AM,05:17 PM,-1,-3,2,-3,41,26,77,0.0,1006,4,10,288,31,Michigan
2019-12-05,4,1,0.0,7.0,1,55,02:15 PM,01:09 AM,07:59 AM,05:17 PM,-2,-1,2,-1,17,69,74,0.0,1016,4,10,267,12,Michigan
2019-12-06,4,-0,0.0,3.4,1,62,02:39 PM,02:07 AM,08:00 AM,05:17 PM,-1,-2,3,-2,32,68,78,0.1,1023,4,10,144,22,Michigan
2019-12-07,4,-1,0.0,8.7,2,70,03:03 PM,03:07 AM,08:01 AM,05:17 PM,-5,-3,1,-3,22,12,63,0.0,1028,4,10,144,14,Michigan
2019-12-08,7,2,0.0,5.2,2,77,03:29 PM,04:07 AM,08:02 AM,05:17 PM,2,-0,5,-0,43,67,82,0.0,1015,7,10,201,29,Michigan
2019-12-09,9,0,0.0,3.4,2,84,03:57 PM,05:09 AM,08:03 AM,05:17 PM,5,3,7,3,28,98,89,11.5,1002,9,9,226,18,Michigan
2019-12-10,-4,-6,0.2,6.9,1,92,04:29 PM,06:13 AM,08:04 AM,05:17 PM,-11,-12,-4,-12,34,49,59,0.4,1020,-4,6,287,28,Michigan
2019-12-11,-4,-7,0.0,6.9,1,99,05:08 PM,07:18 AM,08:04 AM,05:17 PM,-12,-12,-6,-12,26,35,60,0.1,1031,-4,10,274,21,Michigan
2019-12-12,4,-5,0.0,8.7,2,100,05:55 PM,08:23 AM,08:05 AM,05:17 PM,-5,-6,0,-6,39,13,70,0.0,1027,4,10,169,26,Michigan
2019-12-13,4,2,0.0,5.2,1,87,06:49 PM,09:26 AM,08:06 AM,05:18 PM,-1,-1,3,-1,30,44,79,0.0,1015,4,10,192,21,Michigan
2019-12-14,3,-2,0.3,5.2,1,79,07:52 PM,10:22 AM,08:07 AM,05:18 PM,-1,-2,1,-2,22,66,84,0.3,1008,3,8,248,15,Michigan
2019-12-15,-2,-4,0.3,5.2,1,72,09:01 PM,11:12 AM,08:07 AM,05:18 PM,-8,-7,-3,-7,22,76,66,0.4,1018,-2,9,262,18,Michigan
2019-12-16,0,-3,0.5,3.4,1,65,10:12 PM,11:54 AM,08:08 AM,05:18 PM,-4,-5,-1,-5,21,78,83,0.6,1021,0,8,75,16,Michigan
2019-12-17,-0,-2,0.0,8.7,1,58,11:24 PM,12:30 PM,08:09 AM,05:19 PM,-5,-7,-1,-7,37,50,74,0.0,1019,-0,9,282,28,Michigan
2019-12-18,-5,-7,0.0,8.7,1,50,No moonrise,01:02 PM,08:09 AM,05:19 PM,-12,-12,-5,-12,35,32,61,0.3,1025,-5,7,314,28,Michigan
