date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,13,7,0.0,8.7,4,26,12:07 PM,10:37 PM,07:41 AM,05:47 PM,5,9,11,9,29,17,68,19.3,1010,13,10,264,17,Mississippi
2019-12-02,7,1,0.1,7.1,1,33,12:45 PM,11:34 PM,07:42 AM,05:47 PM,-1,1,4,1,23,27,72,0.2,1019,7,10,318,15,Mississippi
2019-12-03,10,0,0.0,8.7,2,41,01:19 PM,No moonset,07:43 AM,05:47 PM,0,4,5,4,12,19,75,0.0,1017,10,10,266,7,Mississippi
2019-12-04,13,4,0.0,8.7,2,48,01:50 PM,12:29 AM,07:44 AM,05:47 PM,4,6,8,6,16,7,80,0.0,1016,13,8,294,9,Mississippi
2019-12-05,15,6,0.0,8.7,4,55,02:19 PM,01:24 AM,07:45 AM,05:47 PM,5,9,10,9,10,11,75,0.0,1019,15,10,204,6,Mississippi
2019-12-06,15,9,0.0,3.8,3,62,02:47 PM,02:18 AM,07:45 AM,05:47 PM,10,10,12,10,20,77,90,20.5,1019,15,7,138,12,Mississippi
2019-12-07,13,9,0.0,3.8,3,70,03:16 PM,03:13 AM,07:46 AM,05:47 PM,9,10,11,10,13,83,91,0.0,1023,13,7,23,9,Mississippi
2019-12-08,16,9,0.0,3.8,3,77,03:46 PM,04:08 AM,07:47 AM,05:47 PM,11,12,13,12,20,74,89,0.4,1019,16,9,135,12,Mississippi
2019-12-09,19,15,0.0,3.8,4,84,04:18 PM,05:05 AM,07:48 AM,05:48 PM,15,17,17,17,28,85,91,1.6,1012,19,10,189,17,Mississippi
2019-12-10,12,2,0.0,3.8,2,92,04:55 PM,06:05 AM,07:48 AM,05:48 PM,8,6,9,6,25,92,93,17.8,1021,12,8,211,17,Mississippi
2019-12-11,9,-1,0.0,8.7,1,99,05:38 PM,07:06 AM,07:49 AM,05:48 PM,0,1,4,1,19,11,80,4.5,1033,9,9,27,13,Mississippi
2019-12-12,11,1,0.0,7.0,2,100,06:26 PM,08:08 AM,07:50 AM,05:48 PM,0,3,6,3,18,34,69,0.0,1028,11,10,97,10,Mississippi
2019-12-13,10,6,0.0,5.4,2,87,07:22 PM,09:09 AM,07:51 AM,05:48 PM,6,7,8,7,13,79,90,0.6,1015,10,8,141,8,Mississippi
2019-12-14,14,5,0.0,5.4,3,79,08:24 PM,10:05 AM,07:51 AM,05:49 PM,7,8,9,8,12,56,89,0.2,1011,14,7,272,7,Mississippi
2019-12-15,17,6,0.0,5.4,3,72,09:29 PM,10:57 AM,07:52 AM,05:49 PM,10,11,11,11,18,37,90,0.0,1015,17,8,165,11,Mississippi
2019-12-16,23,14,0.0,8.7,4,65,10:36 PM,11:44 AM,07:52 AM,05:49 PM,16,17,18,17,32,55,90,19.2,1013,23,9,199,18,Mississippi
2019-12-17,4,1,0.0,3.7,1,58,11:43 PM,12:24 PM,07:53 AM,05:50 PM,2,0,4,0,26,86,83,36.0,1020,4,9,346,19,Mississippi
2019-12-18,8,-1,0.0,8.7,2,50,No moonrise,01:02 PM,07:54 AM,05:50 PM,-2,-1,2,-1,16,4,75,0.0,1028,8,10,327,10,Mississippi
2019-12-19,9,-1,0.0,8.7,2,43,12:49 AM,01:37 PM,07:54 AM,05:50 PM,-4,1,3,1,6,0,62,0.0,1030,9,10,136,4,Mississippi
2019-12-20,12,1,0.0,8.7,3,36,01:55 AM,02:10 PM,07:55 AM,05:51 PM,-0,4,6,4,11,25,67,0.0,1030,12,10,106,6,Mississippi
2019-12-21,9,7,0.0,3.7,2,28,03:00 AM,02:45 PM,07:55 AM,05:51 PM,5,7,8,7,13,83,85,9.7,1028,9,7,75,8,Mississippi
2019-12-22,10,8,0.0,3.7,2,21,04:06 AM,03:22 PM,07:56 AM,05:52 PM,8,7,9,7,18,100,95,69.8,1019,10,6,38,12,Mississippi
