date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,-2,0.0,8.7,2,26,12:53 PM,10:25 PM,08:39 AM,05:53 PM,-7,-1,1,-1,9,7,57,0.0,1027,3,10,213,6,Montana
2019-12-02,4,-3,0.0,8.7,2,33,01:29 PM,11:27 PM,08:40 AM,05:52 PM,-5,0,1,0,3,41,66,0.0,1023,4,10,208,2,Montana
2019-12-03,3,-0,0.9,6.9,1,41,01:59 PM,No moonset,08:41 AM,05:52 PM,-2,-2,1,-2,12,56,79,4.6,1024,3,8,287,7,Montana
2019-12-04,2,-4,0.3,6.9,1,48,02:25 PM,12:28 AM,08:42 AM,05:52 PM,-4,-2,-1,-2,5,55,80,0.4,1031,2,9,188,3,Montana
2019-12-05,3,-3,0.0,8.7,2,55,02:49 PM,01:28 AM,08:43 AM,05:51 PM,-3,0,0,0,3,1,76,0.0,1032,3,10,162,2,Montana
2019-12-06,5,-1,0.0,8.7,2,62,03:12 PM,02:28 AM,08:44 AM,05:51 PM,-2,2,2,2,4,8,73,0.0,1027,5,10,175,2,Montana
2019-12-07,9,-0,0.0,3.4,2,70,03:35 PM,03:28 AM,08:45 AM,05:51 PM,3,5,6,5,8,72,78,1.9,1019,9,9,203,4,Montana
2019-12-08,9,3,0.0,8.7,3,77,03:59 PM,04:29 AM,08:46 AM,05:51 PM,2,5,7,5,13,9,72,0.2,1020,9,10,244,7,Montana
2019-12-09,8,2,0.0,8.7,2,84,04:24 PM,05:32 AM,08:47 AM,05:51 PM,0,5,5,5,5,28,69,0.0,1014,8,10,192,3,Montana
2019-12-10,8,2,0.0,6.9,2,92,04:55 PM,06:36 AM,08:48 AM,05:51 PM,2,5,5,5,5,50,79,0.0,1014,8,10,252,3,Montana
2019-12-11,5,2,0.0,5.2,1,99,05:30 PM,07:43 AM,08:49 AM,05:51 PM,1,3,4,3,5,64,82,0.2,1017,5,9,200,4,Montana
2019-12-12,7,1,0.0,3.4,2,100,06:13 PM,08:49 AM,08:50 AM,05:51 PM,3,3,4,3,5,94,90,0.7,1009,7,6,128,3,Montana
2019-12-13,8,2,0.0,8.7,2,87,07:05 PM,09:53 AM,08:51 AM,05:51 PM,3,4,5,4,9,39,87,0.3,1001,8,7,187,5,Montana
2019-12-14,7,1,0.0,6.9,1,79,08:06 PM,10:51 AM,08:52 AM,05:52 PM,2,3,4,3,10,38,86,0.1,1002,7,10,258,6,Montana
2019-12-15,11,3,0.0,8.7,2,72,09:14 PM,11:42 AM,08:52 AM,05:52 PM,-1,6,7,6,9,22,58,0.0,1019,11,10,169,5,Montana
2019-12-16,14,3,0.0,8.7,3,65,10:25 PM,12:25 PM,08:53 AM,05:52 PM,0,8,8,8,3,5,59,0.0,1024,14,10,161,2,Montana
2019-12-17,14,6,0.0,8.7,4,58,11:39 PM,01:02 PM,08:54 AM,05:52 PM,3,10,10,10,2,3,60,0.0,1023,14,10,152,2,Montana
2019-12-18,13,6,0.0,8.7,3,50,No moonrise,01:34 PM,08:55 AM,05:53 PM,-1,10,10,10,5,20,48,0.0,1024,13,10,169,2,Montana
2019-12-19,11,6,0.0,6.9,2,43,12:52 AM,02:03 PM,08:55 AM,05:53 PM,-1,9,9,9,7,49,50,0.0,1026,11,10,138,4,Montana
2019-12-20,11,4,0.0,8.7,3,36,02:04 AM,02:30 PM,08:56 AM,05:53 PM,2,7,7,7,4,37,71,0.0,1019,11,10,176,3,Montana
2019-12-21,12,6,0.0,8.7,4,28,03:17 AM,02:58 PM,08:56 AM,05:54 PM,5,9,9,9,10,29,74,0.0,1009,12,10,204,5,Montana
2019-12-22,13,6,0.0,6.9,3,21,04:29 AM,03:28 PM,08:57 AM,05:54 PM,6,9,10,9,20,40,78,2.5,997,13,9,198,11,Montana
2019-12-23,7,6,0.0,3.4,2,14,05:42 AM,04:00 PM,08:57 AM,05:55 PM,3,4,6,4,26,74,79,7.2,994,7,7,249,16,Montana
2019-12-24,7,3,0.0,5.1,1,7,06:53 AM,04:38 PM,08:58 AM,05:55 PM,1,-0,4,-0,33,75,81,10.2,1006,7,7,278,19,Montana
2019-12-25,6,2,0.0,8.7,1,0,08:02 AM,05:22 PM,08:58 AM,05:56 PM,-0,0,4,0,24,44,75,1.0,1011,6,9,269,14,Montana
2019-12-26,7,3,0.0,6.9,2,0,09:05 AM,06:13 PM,08:58 AM,05:57 PM,1,2,5,2,22,54,77,1.8,1017,7,7,278,13,Montana
2019-12-27,5,1,0.0,8.7,1,0,10:00 AM,07:09 PM,08:59 AM,05:57 PM,-2,-1,3,-1,16,22,70,0.0,1021,5,10,269,10,Montana
2019-12-28,4,0,0.3,6.9,1,8,10:47 AM,08:10 PM,08:59 AM,05:58 PM,-3,-2,2,-2,17,51,71,0.3,1023,4,9,288,13,Montana
2019-12-29,1,-5,0.5,3.4,1,15,11:27 AM,09:12 PM,08:59 AM,05:59 PM,-6,-5,-1,-5,13,83,70,0.6,1029,1,8,317,8,Montana
2019-12-30,0,-4,2.5,8.1,1,22,11:59 AM,10:14 PM,09:00 AM,06:00 PM,-5,-4,-2,-4,9,54,78,2.9,1035,0,5,210,5,Montana
2019-12-31,3,-5,0.0,9.0,1,26,12:27 PM,11:15 PM,09:00 AM,06:00 PM,-7,-2,-1,-2,8,15,64,0.0,1029,3,10,221,4,Montana
2020-01-01,5,-3,0.0,9.0,2,37,12:52 PM,No moonset,09:00 AM,06:01 PM,-4,-1,2,-1,14,5,64,0.0,1029,5,10,270,9,Montana
2020-01-02,3,-2,0.0,9.0,2,44,01:15 PM,12:15 AM,09:00 AM,06:02 PM,-5,-1,1,-1,7,3,64,0.0,1034,3,10,233,4,Montana
2020-01-03,4,-3,0.0,9.0,2,51,01:38 PM,01:15 AM,09:00 AM,06:03 PM,-8,0,1,0,5,17,52,0.0,1028,4,10,163,2,Montana
2020-01-04,8,2,0.0,8.1,2,59,02:00 PM,02:15 AM,09:00 AM,06:04 PM,-7,3,5,3,16,36,42,0.0,1021,8,10,255,8,Montana
2020-01-05,2,-1,1.2,8.1,1,66,02:24 PM,03:16 AM,09:00 AM,06:05 PM,-4,-4,1,-4,35,60,67,1.4,1022,2,8,297,20,Montana
2020-01-06,-0,-5,0.9,6.3,1,73,02:52 PM,04:18 AM,09:00 AM,06:06 PM,-7,-5,-2,-5,14,57,70,1.1,1028,-0,9,322,8,Montana
2020-01-07,1,-5,0.0,9.1,2,80,03:25 PM,05:24 AM,09:00 AM,06:07 PM,-6,-1,-1,-1,3,3,71,0.0,1030,1,10,123,2,Montana
2020-01-08,1,-4,0.0,9.1,2,88,04:04 PM,06:29 AM,09:00 AM,06:08 PM,-9,-1,-1,-1,3,1,55,0.0,1031,1,10,165,2,Montana
2020-01-09,4,-4,0.0,6.5,1,95,04:52 PM,07:35 AM,08:59 AM,06:09 PM,-8,1,1,1,4,42,49,0.0,1029,4,10,214,2,Montana
2020-01-10,8,1,0.0,9.5,2,100,05:50 PM,08:37 AM,08:59 AM,06:10 PM,-6,4,4,4,3,23,51,0.0,1024,8,10,149,2,Montana
2020-01-11,8,4,0.0,9.5,2,100,06:57 PM,09:33 AM,08:59 AM,06:11 PM,0,6,6,6,4,39,68,0.0,1025,8,10,194,3,Montana
2020-01-12,5,2,0.0,4.8,1,83,08:09 PM,10:21 AM,08:58 AM,06:12 PM,0,3,4,3,7,84,78,0.0,1030,5,10,275,4,Montana
2020-01-13,7,-1,0.0,9.6,2,76,09:25 PM,11:02 AM,08:58 AM,06:13 PM,-0,3,3,3,4,11,80,0.0,1028,7,10,175,2,Montana
2020-01-14,7,2,0.0,9.6,2,69,10:40 PM,11:37 AM,08:58 AM,06:14 PM,1,5,5,5,3,4,79,0.0,1025,7,10,192,2,Montana
2020-01-15,8,2,0.0,9.6,3,61,11:55 PM,12:07 PM,08:57 AM,06:16 PM,2,5,5,5,4,1,79,0.0,1028,8,10,152,3,Montana
2020-01-16,7,2,0.0,9.6,2,54,No moonrise,12:35 PM,08:57 AM,06:17 PM,2,4,5,4,3,2,81,0.0,1029,7,10,247,2,Montana
2020-01-17,5,1,0.0,9.6,2,47,01:08 AM,01:03 PM,08:56 AM,06:18 PM,-0,3,3,3,4,13,81,0.0,1030,5,10,157,3,Montana
2020-01-18,3,-1,0.0,9.6,2,40,02:20 AM,01:31 PM,08:56 AM,06:19 PM,-2,-0,1,-0,5,21,82,0.0,1027,3,10,88,4,Montana
2020-01-19,1,-3,0.5,4.8,1,32,03:32 AM,02:02 PM,08:55 AM,06:20 PM,-1,0,1,0,4,77,88,0.6,1027,1,9,147,3,Montana
2020-01-20,4,-1,0.1,9.7,1,25,04:42 AM,02:37 PM,08:54 AM,06:22 PM,-3,1,1,1,3,40,73,0.2,1040,4,9,290,2,Montana
2020-01-21,4,-2,0.0,9.7,2,18,05:50 AM,03:18 PM,08:54 AM,06:23 PM,-5,1,1,1,3,3,63,0.0,1042,4,10,128,2,Montana
2020-01-22,10,2,0.0,9.7,3,11,06:54 AM,04:05 PM,08:53 AM,06:24 PM,-6,4,5,4,7,2,46,0.0,1031,10,10,222,4,Montana
2020-01-23,6,-0,0.0,9.7,2,3,07:52 AM,04:58 PM,08:52 AM,06:26 PM,-6,1,3,1,15,3,54,0.0,1031,6,10,248,8,Montana
2020-01-24,5,-2,0.0,9.8,2,0,08:41 AM,05:57 PM,08:51 AM,06:27 PM,-6,2,2,2,3,4,59,0.0,1031,5,10,118,2,Montana
2020-01-25,11,1,0.0,9.8,3,0,09:23 AM,06:58 PM,08:50 AM,06:28 PM,-4,4,5,4,11,4,50,0.0,1025,11,10,231,6,Montana
2020-01-26,10,5,0.0,9.8,3,4,09:58 AM,08:01 PM,08:50 AM,06:30 PM,1,7,7,7,8,17,65,0.0,1024,10,10,127,5,Montana
2020-01-27,3,-2,0.0,4.9,1,11,10:28 AM,09:03 PM,08:49 AM,06:31 PM,1,1,2,1,5,89,87,7.4,1020,3,9,290,3,Montana
2020-01-28,10,-0,0.0,9.8,2,18,10:54 AM,10:03 PM,08:48 AM,06:32 PM,1,4,6,4,12,30,73,0.0,1014,10,10,209,7,Montana
2020-01-29,9,4,0.0,8.3,2,26,11:18 AM,11:03 PM,08:47 AM,06:34 PM,1,5,7,5,17,53,65,6.1,1011,9,9,218,10,Montana
2020-01-30,7,2,0.0,9.9,1,33,11:40 AM,No moonset,08:46 AM,06:35 PM,-2,2,5,2,18,35,64,0.0,1018,7,10,268,12,Montana
2020-01-31,10,3,0.0,9.9,2,37,12:02 PM,12:03 AM,08:45 AM,06:36 PM,-3,4,6,4,18,42,53,0.0,1018,10,10,216,10,Montana
2020-02-01,14,4,0.0,9.9,4,49,12:26 PM,01:03 AM,08:44 AM,06:38 PM,2,8,9,8,18,23,60,0.0,1017,14,10,244,9,Montana
2020-02-02,11,6,0.0,8.3,2,57,12:51 PM,02:04 AM,08:43 AM,06:39 PM,3,8,9,8,16,33,65,0.0,1018,11,10,240,8,Montana
2020-02-03,15,7,0.0,10.0,4,64,01:21 PM,03:06 AM,08:42 AM,06:40 PM,4,9,11,9,16,30,63,0.0,1014,15,10,230,9,Montana
2020-02-04,13,7,0.0,8.3,3,72,01:56 PM,04:10 AM,08:40 AM,06:42 PM,4,10,11,10,14,65,69,3.4,1007,13,10,230,9,Montana
