date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,-3,10.1,3.6,1,26,12:16 PM,10:04 PM,07:52 AM,05:16 PM,-5,-4,-0,-4,18,60,71,11.9,1014,3,8,152,12,Rhode_Island
2019-12-02,6,2,0.0,3.6,2,33,12:51 PM,11:05 PM,07:53 AM,05:15 PM,3,-1,4,-1,45,100,93,12.3,999,6,7,41,29,Rhode_Island
2019-12-03,1,-1,8.5,3.6,1,41,01:21 PM,No moonset,07:54 AM,05:15 PM,-2,-7,-0,-7,38,73,87,14.5,994,1,4,263,26,Rhode_Island
2019-12-04,3,-3,0.0,3.6,1,48,01:48 PM,12:04 AM,07:55 AM,05:15 PM,-2,-4,0,-4,23,61,86,0.0,999,3,10,261,14,Rhode_Island
2019-12-05,3,-1,0.0,8.7,1,55,02:12 PM,01:04 AM,07:56 AM,05:15 PM,-2,-3,1,-3,26,42,82,0.0,1004,3,10,285,17,Rhode_Island
2019-12-06,2,-4,0.0,7.0,1,62,02:35 PM,02:02 AM,07:57 AM,05:15 PM,-4,-5,-1,-5,24,44,80,0.1,1017,2,9,279,16,Rhode_Island
2019-12-07,1,-4,0.0,8.7,2,70,03:00 PM,03:01 AM,07:58 AM,05:15 PM,-5,-5,-1,-5,20,8,75,0.0,1024,1,10,315,13,Rhode_Island
2019-12-08,3,-4,0.0,7.0,2,77,03:25 PM,04:02 AM,07:59 AM,05:15 PM,-5,-3,0,-3,16,12,68,0.0,1032,3,10,258,11,Rhode_Island
2019-12-09,13,7,0.0,3.4,3,84,03:53 PM,05:04 AM,08:00 AM,05:15 PM,9,8,11,8,38,92,91,19.3,1019,13,9,198,22,Rhode_Island
2019-12-10,13,8,0.0,3.4,3,92,04:25 PM,06:07 AM,08:01 AM,05:15 PM,11,10,12,10,46,92,91,18.8,1010,13,9,239,28,Rhode_Island
2019-12-11,0,-1,8.5,6.9,1,99,05:04 PM,07:13 AM,08:01 AM,05:15 PM,-2,-4,0,-4,17,53,84,10.0,1023,0,6,254,12,Rhode_Island
2019-12-12,-1,-5,0.0,8.7,2,100,05:50 PM,08:17 AM,08:02 AM,05:15 PM,-8,-6,-2,-6,19,4,65,0.0,1037,-1,10,247,12,Rhode_Island
2019-12-13,8,-0,0.0,3.4,2,87,06:44 PM,09:20 AM,08:03 AM,05:15 PM,2,2,5,2,21,65,80,0.8,1030,8,10,143,12,Rhode_Island
2019-12-14,14,10,0.0,3.4,3,79,07:47 PM,10:17 AM,08:04 AM,05:15 PM,12,10,12,10,33,94,96,50.5,999,14,7,157,20,Rhode_Island
2019-12-15,7,0,0.0,8.7,3,72,08:55 PM,11:07 AM,08:04 AM,05:16 PM,-0,-0,5,-0,42,23,68,0.3,1004,7,9,255,28,Rhode_Island
2019-12-16,3,-1,0.0,8.7,2,65,10:06 PM,11:49 AM,08:05 AM,05:16 PM,-8,-4,0,-4,23,37,54,0.0,1022,3,10,265,16,Rhode_Island
2019-12-17,3,-1,0.6,3.4,1,58,11:19 PM,12:25 PM,08:06 AM,05:16 PM,-2,-2,1,-2,27,100,84,11.3,1011,3,6,238,17,Rhode_Island
2019-12-18,2,-4,3.8,8.7,1,50,No moonrise,12:58 PM,08:06 AM,05:17 PM,-4,-6,-1,-6,26,44,81,4.6,1007,2,7,303,18,Rhode_Island
2019-12-19,-5,-10,0.0,8.7,1,43,12:30 AM,01:28 PM,08:07 AM,05:17 PM,-15,-16,-7,-16,37,4,57,0.2,1020,-5,10,296,27,Rhode_Island
2019-12-20,-2,-7,0.0,8.7,2,36,01:41 AM,01:56 PM,08:08 AM,05:17 PM,-11,-11,-5,-11,21,1,60,0.0,1030,-2,10,319,15,Rhode_Island
2019-12-21,1,-4,0.0,6.9,1,28,02:52 AM,02:25 PM,08:08 AM,05:18 PM,-5,-4,-1,-4,9,36,76,0.0,1035,1,10,291,6,Rhode_Island
2019-12-22,5,1,0.0,8.7,2,21,04:03 AM,02:57 PM,08:09 AM,05:18 PM,-1,-1,3,-1,23,13,79,0.0,1025,5,10,245,14,Rhode_Island
2019-12-23,8,2,0.0,8.7,2,14,05:14 AM,03:32 PM,08:09 AM,05:19 PM,2,2,5,2,27,21,80,0.0,1016,8,10,246,15,Rhode_Island
2019-12-24,5,1,0.0,8.7,2,7,06:24 AM,04:12 PM,08:10 AM,05:19 PM,-2,-0,3,-0,19,7,72,0.0,1018,5,10,234,12,Rhode_Island
2019-12-25,5,0,0.0,6.9,1,0,07:31 AM,04:59 PM,08:10 AM,05:20 PM,-2,1,2,1,11,33,74,0.0,1023,5,10,118,7,Rhode_Island
2019-12-26,5,1,0.0,8.7,1,0,08:31 AM,05:52 PM,08:10 AM,05:21 PM,-1,-0,3,-0,16,39,77,0.0,1028,5,10,38,9,Rhode_Island
2019-12-27,9,1,0.0,3.4,2,0,09:25 AM,06:49 PM,08:11 AM,05:21 PM,3,3,6,3,25,58,82,0.2,1023,9,9,180,15,Rhode_Island
2019-12-28,8,2,0.0,8.7,3,8,10:10 AM,07:49 PM,08:11 AM,05:22 PM,2,2,5,2,18,8,78,0.0,1020,8,10,295,11,Rhode_Island
2019-12-29,5,1,0.0,8.7,2,15,10:48 AM,08:50 PM,08:11 AM,05:23 PM,-2,1,3,1,14,34,70,1.2,1022,5,10,210,9,Rhode_Island
2019-12-30,4,2,0.0,3.4,1,22,11:21 AM,09:51 PM,08:11 AM,05:24 PM,2,-2,3,-2,32,100,94,19.0,1015,4,7,84,21,Rhode_Island
2019-12-31,7,4,0.0,8.7,2,26,11:49 AM,10:51 PM,08:11 AM,05:24 PM,4,2,5,2,27,58,88,5.1,1003,7,10,201,16,Rhode_Island
2020-01-01,3,1,0.0,8.7,2,37,12:14 PM,11:50 PM,08:12 AM,05:25 PM,-3,-3,2,-3,28,22,71,0.0,1003,3,10,270,18,Rhode_Island
2020-01-02,6,-0,0.0,8.7,1,44,12:38 PM,No moonset,08:12 AM,05:26 PM,-3,-1,2,-1,23,22,66,0.0,1011,6,10,255,15,Rhode_Island
2020-01-03,8,5,0.0,3.4,2,51,01:02 PM,12:48 AM,08:12 AM,05:27 PM,6,4,7,4,21,80,92,6.4,1009,8,9,226,13,Rhode_Island
2020-01-04,8,3,0.0,3.4,2,59,01:26 PM,01:48 AM,08:12 AM,05:28 PM,7,6,7,6,7,97,98,5.9,1004,8,6,205,4,Rhode_Island
2020-01-05,3,-0,0.0,8.7,1,66,01:52 PM,02:48 AM,08:12 AM,05:29 PM,-2,-2,3,-2,31,50,73,0.4,1002,3,8,315,21,Rhode_Island
2020-01-06,5,-1,0.0,5.2,1,73,02:22 PM,03:50 AM,08:12 AM,05:30 PM,-5,-2,1,-2,19,51,65,0.2,1011,5,9,265,12,Rhode_Island
2020-01-07,3,-0,0.1,5.2,1,80,02:57 PM,04:54 AM,08:12 AM,05:31 PM,-5,-2,1,-2,17,44,63,0.1,1016,3,10,237,12,Rhode_Island
2020-01-08,3,-4,1.4,7.0,1,88,03:40 PM,05:59 AM,08:11 AM,05:32 PM,-5,-5,-0,-5,27,64,73,2.9,1010,3,7,267,18,Rhode_Island
2020-01-09,-1,-6,0.0,8.7,2,95,04:30 PM,07:04 AM,08:11 AM,05:33 PM,-14,-9,-4,-9,25,14,46,0.0,1032,-1,10,292,18,Rhode_Island
2020-01-10,8,-5,0.0,3.5,2,100,05:31 PM,08:04 AM,08:11 AM,05:34 PM,0,0,4,0,34,67,73,0.0,1034,8,10,222,21,Rhode_Island
2020-01-11,14,4,0.0,3.5,3,100,06:39 PM,08:58 AM,08:11 AM,05:35 PM,10,9,11,9,46,87,87,0.0,1025,14,10,221,26,Rhode_Island
2020-01-12,15,9,0.0,5.2,3,83,07:52 PM,09:46 AM,08:11 AM,05:36 PM,10,12,14,12,51,60,78,8.8,1016,15,10,236,28,Rhode_Island
2020-01-13,4,-0,0.0,3.5,1,76,09:06 PM,10:25 AM,08:10 AM,05:37 PM,-3,-0,2,-0,13,70,73,0.0,1031,4,10,113,9,Rhode_Island
2020-01-14,8,2,0.0,7.0,1,69,10:20 PM,11:00 AM,08:10 AM,05:38 PM,1,3,4,3,9,36,81,0.0,1026,8,10,178,6,Rhode_Island
2020-01-15,9,1,0.0,8.7,3,61,11:33 PM,11:31 AM,08:09 AM,05:39 PM,3,4,6,4,13,35,78,0.1,1018,9,8,249,9,Rhode_Island
2020-01-16,7,-0,0.0,5.2,2,54,No moonrise,12:00 PM,08:09 AM,05:41 PM,-0,0,4,0,34,72,72,4.4,1008,7,10,255,23,Rhode_Island
2020-01-17,-4,-8,0.0,8.7,2,47,12:44 AM,12:29 PM,08:09 AM,05:42 PM,-17,-14,-6,-14,37,2,41,0.0,1027,-4,10,331,28,Rhode_Island
2020-01-18,-2,-8,0.0,3.5,1,40,01:55 AM,01:00 PM,08:08 AM,05:43 PM,-14,-9,-5,-9,18,75,51,1.5,1029,-2,9,260,12,Rhode_Island
2020-01-19,5,-4,0.0,7.0,1,32,03:04 AM,01:33 PM,08:07 AM,05:44 PM,0,-2,3,-2,34,62,81,5.1,1004,5,10,256,21,Rhode_Island
2020-01-20,-2,-7,0.0,8.7,2,25,04:13 AM,02:10 PM,08:07 AM,05:45 PM,-11,-11,-5,-11,24,13,63,0.0,1016,-2,10,326,17,Rhode_Island
2020-01-21,-0,-6,0.0,8.7,1,18,05:20 AM,02:53 PM,08:06 AM,05:46 PM,-13,-7,-4,-7,10,16,52,0.0,1027,-0,10,328,7,Rhode_Island
2020-01-22,3,-8,0.0,8.7,2,11,06:21 AM,03:43 PM,08:06 AM,05:48 PM,-10,-4,-2,-4,6,9,57,0.0,1029,3,10,262,4,Rhode_Island
2020-01-23,5,-1,0.0,8.7,1,3,07:17 AM,04:37 PM,08:05 AM,05:49 PM,-5,-2,1,-2,15,36,63,0.0,1028,5,10,240,9,Rhode_Island
2020-01-24,6,-3,0.0,5.3,1,0,08:05 AM,05:37 PM,08:04 AM,05:50 PM,-2,-0,2,-0,11,46,75,0.0,1027,6,10,114,6,Rhode_Island
2020-01-25,7,0,0.0,5.3,1,0,08:45 AM,06:37 PM,08:03 AM,05:51 PM,2,0,3,0,29,67,90,5.2,1021,7,9,79,17,Rhode_Island
2020-01-26,7,4,0.0,8.7,3,4,09:20 AM,07:39 PM,08:03 AM,05:53 PM,4,3,6,3,24,43,85,15.9,1006,7,9,238,16,Rhode_Island
2020-01-27,5,0,0.0,5.3,1,11,09:50 AM,08:39 PM,08:02 AM,05:54 PM,-2,-1,2,-1,23,51,76,0.0,1004,5,10,265,15,Rhode_Island
2020-01-28,4,-1,0.0,8.7,1,18,10:16 AM,09:39 PM,08:01 AM,05:55 PM,-4,-2,1,-2,18,35,70,0.0,1005,4,10,317,12,Rhode_Island
2020-01-29,4,-2,0.0,8.7,1,26,10:40 AM,10:37 PM,08:00 AM,05:56 PM,-8,-3,1,-3,16,39,58,0.0,1013,4,10,338,11,Rhode_Island
