date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-6,-11,0.0,5.2,1,26,01:12 PM,10:39 PM,08:46 AM,05:46 PM,-7,-14,-7,-14,43,84,93,11.9,1016,-6,4,329,31,South_Dakota
2019-12-02,-3,-13,0.0,8.7,2,33,01:45 PM,11:42 PM,08:47 AM,05:45 PM,-11,-13,-8,-13,18,26,79,0.0,1020,-3,10,223,9,South_Dakota
2019-12-03,1,-4,0.0,8.7,2,41,02:12 PM,No moonset,08:48 AM,05:45 PM,-3,-6,-1,-6,37,18,84,0.0,1008,1,10,278,19,South_Dakota
2019-12-04,-1,-6,0.0,8.7,2,48,02:36 PM,12:44 AM,08:49 AM,05:45 PM,-4,-6,-2,-6,30,16,83,0.0,1012,-1,10,269,15,South_Dakota
2019-12-05,-4,-14,0.0,3.4,1,55,02:58 PM,01:46 AM,08:50 AM,05:44 PM,-8,-12,-7,-12,23,60,91,0.1,1020,-4,10,299,13,South_Dakota
2019-12-06,-8,-16,0.0,8.7,2,62,03:19 PM,02:47 AM,08:51 AM,05:44 PM,-13,-17,-12,-17,20,25,88,0.0,1030,-8,10,228,10,South_Dakota
2019-12-07,1,-9,0.0,8.7,2,70,03:41 PM,03:49 AM,08:52 AM,05:44 PM,-5,-7,-3,-7,19,35,91,0.0,1016,1,10,179,9,South_Dakota
2019-12-08,-3,-11,0.3,3.3,1,77,04:04 PM,04:52 AM,08:53 AM,05:44 PM,-7,-11,-6,-11,31,70,92,0.4,1011,-3,10,326,20,South_Dakota
2019-12-09,-17,-21,2.0,5.1,1,84,04:30 PM,05:56 AM,08:54 AM,05:44 PM,-18,-26,-17,-26,27,73,93,6.3,1017,-17,4,311,18,South_Dakota
2019-12-10,-20,-23,0.3,6.9,1,92,05:00 PM,07:03 AM,08:55 AM,05:44 PM,-21,-29,-20,-29,21,56,92,0.3,1027,-20,9,286,11,South_Dakota
2019-12-11,-18,-26,0.0,6.9,1,99,05:37 PM,08:10 AM,08:56 AM,05:44 PM,-22,-28,-21,-28,16,47,91,0.0,1032,-18,10,227,9,South_Dakota
