date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,18,15,0.0,10.6,5,26,12:23 PM,11:11 PM,07:57 AM,06:20 PM,4,17,18,17,26,19,44,1.6,1018,18,9,256,15,Texas
2019-12-02,15,12,0.0,10.6,4,33,01:03 PM,No moonset,07:57 AM,06:20 PM,2,12,13,12,27,1,45,0.0,1024,15,10,236,19,Texas
2019-12-03,19,12,0.0,10.6,5,41,01:39 PM,12:06 AM,07:58 AM,06:20 PM,7,15,15,15,16,1,59,0.0,1018,19,10,149,10,Texas
2019-12-04,17,13,0.0,10.6,5,48,02:11 PM,12:59 AM,07:59 AM,06:20 PM,10,15,15,15,17,3,70,0.0,1017,17,10,157,11,Texas
2019-12-05,20,14,0.0,10.2,5,55,02:42 PM,01:52 AM,08:00 AM,06:21 PM,15,18,18,18,21,41,80,0.0,1016,20,10,145,12,Texas
2019-12-06,21,17,0.0,10.2,4,62,03:12 PM,02:44 AM,08:00 AM,06:21 PM,15,19,19,19,28,19,80,0.0,1018,21,9,284,16,Texas
2019-12-07,16,15,0.0,10.0,4,70,03:42 PM,03:37 AM,08:01 AM,06:21 PM,12,15,16,15,23,51,80,0.0,1022,16,10,141,16,Texas
2019-12-08,20,15,0.0,10.2,5,77,04:14 PM,04:30 AM,08:02 AM,06:21 PM,14,18,18,18,20,17,80,0.0,1018,20,10,148,13,Texas
2019-12-09,23,19,0.0,6.7,5,84,04:49 PM,05:26 AM,08:02 AM,06:21 PM,19,21,22,21,36,54,88,1.1,1012,23,10,205,19,Texas
2019-12-10,15,11,0.0,5.1,3,92,05:28 PM,06:23 AM,08:03 AM,06:21 PM,12,13,15,13,41,92,86,18.1,1019,15,8,96,26,Texas
2019-12-11,13,8,0.0,10.2,3,99,06:11 PM,07:23 AM,08:04 AM,06:22 PM,5,7,11,7,32,36,69,0.6,1029,13,9,31,25,Texas
2019-12-12,15,10,0.0,8.3,3,100,07:02 PM,08:23 AM,08:04 AM,06:22 PM,8,11,12,11,25,37,75,0.0,1024,15,10,57,18,Texas
2019-12-13,20,15,0.0,8.3,4,87,07:58 PM,09:24 AM,08:05 AM,06:22 PM,14,17,17,17,17,60,80,0.4,1014,20,9,120,11,Texas
2019-12-14,18,15,0.0,10.2,5,79,08:59 PM,10:21 AM,08:06 AM,06:22 PM,11,17,17,17,17,3,71,0.0,1011,18,10,212,10,Texas
2019-12-15,23,19,0.0,6.7,5,72,10:03 PM,11:14 AM,08:06 AM,06:23 PM,19,21,22,21,45,49,89,0.2,1010,23,10,172,23,Texas
2019-12-16,23,11,0.0,8.3,4,65,11:09 PM,12:01 PM,08:07 AM,06:23 PM,16,18,20,18,45,64,84,24.8,1012,23,8,221,25,Texas
2019-12-17,11,6,0.0,10.2,3,58,No moonrise,12:44 PM,08:07 AM,06:24 PM,2,4,8,4,44,13,66,0.7,1024,11,10,15,34,Texas
2019-12-18,12,7,0.0,10.2,3,50,12:13 AM,01:24 PM,08:08 AM,06:24 PM,-2,7,10,7,25,0,45,0.0,1030,12,10,12,19,Texas
2019-12-19,13,9,0.0,10.0,3,43,01:17 AM,02:01 PM,08:09 AM,06:24 PM,2,9,11,9,21,24,54,0.0,1029,13,10,72,15,Texas
2019-12-20,14,12,0.0,6.7,3,36,02:20 AM,02:37 PM,08:09 AM,06:25 PM,7,11,13,11,33,75,69,1.5,1026,14,9,84,24,Texas
2019-12-21,13,11,0.0,8.3,3,28,03:24 AM,03:14 PM,08:10 AM,06:25 PM,6,10,12,10,26,62,65,0.8,1026,13,9,35,19,Texas
2019-12-22,15,9,0.0,10.2,4,21,04:26 AM,03:53 PM,08:10 AM,06:26 PM,5,10,12,10,25,4,63,0.0,1023,15,10,297,18,Texas
2019-12-23,18,10,0.0,10.2,4,14,05:31 AM,04:34 PM,08:11 AM,06:26 PM,5,12,13,12,22,1,59,0.0,1020,18,10,309,14,Texas
2019-12-24,19,13,0.0,10.2,5,7,06:34 AM,05:21 PM,08:11 AM,06:27 PM,10,15,15,15,14,0,71,0.0,1017,19,10,119,9,Texas
2019-12-25,18,15,0.0,6.7,4,0,07:36 AM,06:11 PM,08:12 AM,06:27 PM,14,16,16,16,14,34,85,0.0,1015,18,10,155,9,Texas
2019-12-26,18,16,0.0,10.2,5,0,08:35 AM,07:05 PM,08:12 AM,06:28 PM,15,17,17,17,24,20,86,0.0,1017,18,10,98,14,Texas
2019-12-27,19,16,0.0,6.7,4,0,09:29 AM,08:01 PM,08:12 AM,06:29 PM,16,17,17,17,32,61,92,0.0,1017,19,9,83,18,Texas
2019-12-28,20,18,0.0,8.3,4,8,10:16 AM,08:58 PM,08:13 AM,06:29 PM,18,19,19,19,44,66,92,0.1,1011,20,10,158,22,Texas
2019-12-29,20,15,0.0,8.3,4,15,10:59 AM,09:54 PM,08:13 AM,06:30 PM,12,18,18,18,40,62,72,4.0,1010,20,10,265,20,Texas
2019-12-30,15,12,0.0,10.2,4,22,11:36 AM,10:49 PM,08:13 AM,06:31 PM,-0,12,13,12,18,0,40,0.0,1020,15,10,240,12,Texas
2019-12-31,14,5,0.0,10.2,4,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,0,10,11,10,20,11,46,0.0,1023,14,10,47,14,Texas
2020-01-01,15,9,0.0,5.1,3,37,12:41 PM,No moonset,08:14 AM,06:32 PM,9,12,14,12,35,79,74,45.7,1015,15,8,97,23,Texas
2020-01-02,17,10,0.0,5.1,4,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,15,15,16,15,29,78,91,48.2,1005,17,7,229,16,Texas
2020-01-03,16,13,0.0,10.2,4,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,9,14,15,14,41,6,68,0.0,1012,16,10,268,25,Texas
2020-01-04,16,12,0.0,10.2,4,59,02:12 PM,02:19 AM,08:15 AM,06:34 PM,6,13,14,13,23,1,58,0.0,1026,16,10,301,15,Texas
2020-01-05,18,13,0.0,10.2,5,66,02:45 PM,03:13 AM,08:15 AM,06:35 PM,9,15,15,15,27,0,67,0.0,1027,18,10,217,15,Texas
2020-01-06,18,15,0.0,6.7,4,73,03:21 PM,04:08 AM,08:15 AM,06:36 PM,13,17,17,17,25,46,78,0.2,1022,18,10,208,13,Texas
2020-01-07,15,12,0.0,10.0,3,80,04:02 PM,05:07 AM,08:15 AM,06:36 PM,5,12,14,12,27,45,56,0.1,1028,15,10,30,18,Texas
