date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-0,-5,1.6,3.4,1,26,12:40 PM,10:14 PM,08:15 AM,05:22 PM,-3,-8,-2,-8,28,90,93,7.7,1003,-0,3,37,18,Wisconsin
2019-12-02,-3,-10,0.1,8.7,1,33,01:14 PM,11:16 PM,08:16 AM,05:21 PM,-8,-11,-7,-11,19,17,91,0.1,1018,-3,8,290,10,Wisconsin
2019-12-03,-1,-6,0.0,6.9,1,41,01:42 PM,No moonset,08:17 AM,05:21 PM,-5,-9,-4,-9,24,58,92,0.0,1006,-1,10,245,16,Wisconsin
2019-12-04,-1,-4,0.0,3.4,1,48,02:06 PM,12:17 AM,08:18 AM,05:21 PM,-4,-8,-2,-8,32,89,90,0.0,1007,-1,10,291,22,Wisconsin
2019-12-05,-1,-7,0.0,3.4,1,55,02:29 PM,01:18 AM,08:19 AM,05:20 PM,-5,-7,-4,-7,13,73,93,0.0,1017,-1,8,265,8,Wisconsin
2019-12-06,-5,-13,0.1,8.7,1,62,02:51 PM,02:18 AM,08:20 AM,05:20 PM,-8,-11,-7,-11,16,31,90,0.1,1027,-5,8,310,9,Wisconsin
2019-12-07,-0,-9,0.0,8.7,2,70,03:14 PM,03:20 AM,08:21 AM,05:20 PM,-5,-8,-3,-8,19,48,87,0.0,1024,-0,10,185,11,Wisconsin
2019-12-08,2,-0,0.0,5.1,1,77,03:38 PM,04:22 AM,08:22 AM,05:20 PM,-1,-3,1,-3,26,48,86,0.0,1010,2,7,235,16,Wisconsin
2019-12-09,0,-10,5.3,3.4,1,84,04:04 PM,05:26 AM,08:23 AM,05:20 PM,-3,-7,-2,-7,18,95,94,6.6,1004,0,4,156,13,Wisconsin
2019-12-10,-14,-18,0.1,8.7,1,92,04:34 PM,06:31 AM,08:24 AM,05:20 PM,-17,-24,-16,-24,24,72,87,0.1,1022,-14,9,288,18,Wisconsin
2019-12-11,-15,-20,0.0,8.7,1,99,05:12 PM,07:39 AM,08:25 AM,05:20 PM,-20,-25,-18,-25,18,52,86,0.0,1032,-15,10,293,13,Wisconsin
2019-12-12,-2,-13,3.1,3.4,1,100,05:57 PM,08:45 AM,08:26 AM,05:20 PM,-9,-12,-7,-12,19,96,89,3.6,1023,-2,5,158,13,Wisconsin
2019-12-13,-5,-12,0.4,3.3,1,87,06:52 PM,09:48 AM,08:27 AM,05:20 PM,-9,-10,-8,-10,12,74,93,0.6,1015,-5,6,240,7,Wisconsin
2019-12-14,-7,-13,0.6,3.3,1,79,07:55 PM,10:43 AM,08:27 AM,05:20 PM,-11,-16,-10,-16,18,88,92,0.7,1011,-7,9,289,13,Wisconsin
2019-12-15,-12,-19,0.0,8.7,1,72,09:05 PM,11:32 AM,08:28 AM,05:21 PM,-17,-21,-15,-21,18,56,91,0.0,1021,-12,10,301,10,Wisconsin
2019-12-16,-7,-14,0.1,3.3,1,65,10:18 PM,12:12 PM,08:29 AM,05:21 PM,-11,-15,-10,-15,13,80,93,0.1,1024,-7,8,283,8,Wisconsin
2019-12-17,-6,-12,0.3,3.3,1,58,11:33 PM,12:47 PM,08:29 AM,05:21 PM,-10,-16,-9,-16,28,77,93,0.4,1020,-6,8,282,19,Wisconsin
2019-12-18,-14,-23,0.2,8.7,2,50,No moonrise,01:17 PM,08:30 AM,05:22 PM,-20,-25,-18,-25,18,25,82,0.2,1028,-14,10,273,10,Wisconsin
2019-12-19,-3,-12,0.0,3.3,1,43,12:46 AM,01:45 PM,08:31 AM,05:22 PM,-9,-12,-7,-12,17,78,86,0.0,1024,-3,9,185,10,Wisconsin
2019-12-20,1,-7,0.0,3.3,1,36,01:59 AM,02:11 PM,08:31 AM,05:22 PM,-4,-8,-3,-8,22,68,93,0.0,1028,1,10,161,13,Wisconsin
2019-12-21,1,-7,0.0,8.7,1,28,03:13 AM,02:38 PM,08:32 AM,05:23 PM,-4,-7,-3,-7,25,22,90,0.0,1024,1,8,233,13,Wisconsin
