date_time,tempC,location,tempC_categories
2019-12-01,20,Alabama,0
2019-12-02,11,Alabama,6
2019-12-03,12,Alabama,6
2019-12-04,16,Alabama,6
2019-12-05,17,Alabama,6
2019-12-06,20,Alabama,0
2019-12-07,19,Alabama,6
2019-12-08,20,Alabama,0
2019-12-09,21,Alabama,7
2019-12-10,23,Alabama,7
2019-12-11,13,Alabama,6
2019-12-12,14,Alabama,6
2019-12-13,17,Alabama,6
2019-12-14,17,Alabama,6
2019-12-15,21,Alabama,7
2019-12-16,23,Alabama,7
2019-12-17,15,Alabama,6
2019-12-18,10,Alabama,0
2019-12-19,12,Alabama,6
2019-12-20,15,Alabama,6
2019-12-21,13,Alabama,6
2019-12-22,13,Alabama,6
2019-12-23,14,Alabama,6
2019-12-24,19,Alabama,6
2019-12-25,19,Alabama,6
2019-12-26,20,Alabama,0
2019-12-27,20,Alabama,0
2019-12-28,21,Alabama,7
2019-12-29,22,Alabama,7
2019-12-30,16,Alabama,6
2019-12-31,15,Alabama,6
2020-01-01,14,Alabama,6
2020-01-02,21,Alabama,7
2020-01-03,16,Alabama,6
2020-01-04,16,Alabama,6
2020-01-05,13,Alabama,6
2020-01-06,16,Alabama,6
2020-01-07,15,Alabama,6
2020-01-08,14,Alabama,6
2020-01-09,19,Alabama,6
2020-01-10,20,Alabama,0
2020-01-11,21,Alabama,7
2020-01-12,18,Alabama,6
2020-01-13,21,Alabama,7
2020-01-14,22,Alabama,7
2020-01-15,22,Alabama,7
2020-01-16,21,Alabama,7
2020-01-17,17,Alabama,6
2020-01-18,19,Alabama,6
2020-01-19,12,Alabama,6
2020-01-20,8,Alabama,5
2020-01-21,9,Alabama,5
2020-01-22,9,Alabama,5
2020-01-23,16,Alabama,6
2020-01-24,15,Alabama,6
2020-01-25,14,Alabama,6
2020-01-26,12,Alabama,6
2020-01-27,16,Alabama,6
2020-01-28,16,Alabama,6
2020-01-29,16,Alabama,6
2020-01-30,12,Alabama,6
2020-01-31,14,Alabama,6
2020-02-01,15,Alabama,6
2020-02-02,16,Alabama,6
2020-02-03,18,Alabama,6
2020-02-04,20,Alabama,0
2020-02-05,20,Alabama,0
2020-02-06,19,Alabama,6
2020-02-07,11,Alabama,6
2020-02-08,18,Alabama,6
2020-02-09,18,Alabama,6
2020-02-10,20,Alabama,0
2020-02-11,22,Alabama,7
2020-02-12,21,Alabama,7
2020-02-13,17,Alabama,6
2020-02-14,14,Alabama,6
2020-02-15,15,Alabama,6
2020-02-16,15,Alabama,6
2020-02-17,22,Alabama,7
2020-02-18,22,Alabama,7
2020-02-19,18,Alabama,6
2020-02-20,16,Alabama,6
2020-02-21,11,Alabama,6
2020-02-22,12,Alabama,6
2020-02-23,16,Alabama,6
2020-02-24,19,Alabama,6
2020-02-25,19,Alabama,6
2020-02-26,13,Alabama,6
2020-02-27,11,Alabama,6
2020-02-28,15,Alabama,6
2020-02-29,16,Alabama,6
2020-03-01,18,Alabama,6
2020-03-02,20,Alabama,0
2020-03-03,22,Alabama,7
2020-03-04,19,Alabama,6
2020-03-05,20,Alabama,0
2020-03-06,17,Alabama,6
2020-03-07,15,Alabama,6
2020-03-08,17,Alabama,6
2020-03-09,20,Alabama,0
2020-03-10,21,Alabama,7
2020-03-11,21,Alabama,7
2020-03-12,22,Alabama,7
2020-03-13,22,Alabama,7
2020-03-14,22,Alabama,7
2020-03-15,24,Alabama,7
2020-03-16,23,Alabama,7
2020-03-17,23,Alabama,7
2020-03-18,24,Alabama,7
2020-03-19,24,Alabama,7
2020-03-20,25,Alabama,7
2020-03-21,24,Alabama,7
2020-03-22,24,Alabama,7
2020-03-23,24,Alabama,7
2020-03-24,24,Alabama,7
2020-03-25,26,Alabama,7
2020-03-26,26,Alabama,7
2020-03-27,25,Alabama,7
2020-03-28,25,Alabama,7
2020-03-29,26,Alabama,7
2020-03-30,25,Alabama,7
2020-03-31,28,Alabama,7
2020-04-01,21,Alabama,7
2020-04-02,21,Alabama,7
2020-04-03,23,Alabama,7
2020-04-04,23,Alabama,7
2020-04-05,24,Alabama,7
2020-04-06,24,Alabama,7
2020-04-07,24,Alabama,7
2020-04-08,27,Alabama,7
2020-04-09,28,Alabama,7
2020-04-10,21,Alabama,7
2020-04-11,21,Alabama,7
2020-04-12,26,Alabama,7
2020-04-13,27,Alabama,7
2020-04-14,24,Alabama,7
2020-04-15,20,Alabama,0
2020-04-16,21,Alabama,7
2020-04-17,23,Alabama,7
2020-04-18,25,Alabama,7
2020-04-19,25,Alabama,7
2020-04-20,26,Alabama,7
2020-04-21,26,Alabama,7
2020-04-22,24,Alabama,7
2020-04-23,25,Alabama,7
2020-04-24,26,Alabama,7
2020-04-25,27,Alabama,7
2020-04-26,24,Alabama,7
2020-04-27,22,Alabama,7
2020-04-28,24,Alabama,7
2020-04-29,24,Alabama,7
2020-04-30,23,Alabama,7
2020-05-01,23,Alabama,7
2020-05-02,24,Alabama,7
2020-05-03,24,Alabama,7
2020-05-04,25,Alabama,7
2020-05-05,27,Alabama,7
2020-05-06,26,Alabama,7
2020-05-07,22,Alabama,7
2020-05-08,26,Alabama,7
2020-05-09,21,Alabama,7
2020-05-10,24,Alabama,7
2020-05-11,25,Alabama,7
2020-05-12,22,Alabama,7
2020-05-13,25,Alabama,7
2020-05-14,24,Alabama,7
2020-05-15,22,Alabama,7
2020-05-16,26,Alabama,7
2020-05-17,27,Alabama,7
2020-05-18,25,Alabama,7
2020-05-19,26,Alabama,7
2020-05-20,24,Alabama,7
2020-05-21,28,Alabama,7
2020-05-22,28,Alabama,7
2020-05-23,28,Alabama,7
2020-05-24,28,Alabama,7
2020-05-25,25,Alabama,7
2020-05-26,27,Alabama,7
2020-05-27,26,Alabama,7
2020-05-28,29,Alabama,7
2020-05-29,28,Alabama,7
2020-05-30,29,Alabama,7
2020-05-31,30,Alabama,0
2020-06-01,29,Alabama,7
2020-06-02,28,Alabama,7
2020-06-03,25,Alabama,7
2020-06-04,28,Alabama,7
2020-06-05,29,Alabama,7
2020-06-06,28,Alabama,7
2020-06-07,27,Alabama,7
2020-06-08,27,Alabama,7
2020-06-09,30,Alabama,0
2020-06-10,30,Alabama,0
2020-06-11,31,Alabama,8
2020-06-12,29,Alabama,7
2020-06-13,30,Alabama,0
2020-06-14,29,Alabama,7
2020-06-15,31,Alabama,8
2020-06-16,29,Alabama,7
2020-06-17,28,Alabama,7
2020-06-18,28,Alabama,7
2020-06-19,29,Alabama,7
2020-06-20,29,Alabama,7
2020-06-21,29,Alabama,7
2020-06-22,30,Alabama,0
2020-06-23,30,Alabama,0
2020-06-24,28,Alabama,7
2020-06-25,28,Alabama,7
2020-06-26,30,Alabama,0
2020-06-27,28,Alabama,7
2020-06-28,30,Alabama,0
2020-06-29,30,Alabama,0
2020-06-30,31,Alabama,8
2020-07-01,31,Alabama,8
2020-07-02,31,Alabama,8
2020-07-03,29,Alabama,7
2020-07-04,30,Alabama,0
2020-07-05,30,Alabama,0
2020-07-06,27,Alabama,7
2020-07-07,28,Alabama,7
2020-07-08,31,Alabama,8
2020-07-09,31,Alabama,8
2020-07-10,32,Alabama,8
2020-07-11,33,Alabama,8
2020-07-12,32,Alabama,8
2020-07-13,31,Alabama,8
2020-07-14,32,Alabama,8
2020-07-15,31,Alabama,8
2020-07-16,30,Alabama,0
2020-07-17,31,Alabama,8
2020-07-18,31,Alabama,8
2020-07-19,31,Alabama,8
2020-07-20,31,Alabama,8
2020-07-21,31,Alabama,8
2020-07-22,31,Alabama,8
2020-07-23,29,Alabama,7
2020-07-24,28,Alabama,7
2020-07-25,30,Alabama,0
2020-07-26,30,Alabama,0
2020-07-27,26,Alabama,7
2020-07-28,29,Alabama,7
2020-07-29,29,Alabama,7
2020-07-30,30,Alabama,0
2020-07-31,30,Alabama,0
2020-08-01,30,Alabama,0
2020-08-02,31,Alabama,8
2020-08-03,32,Alabama,8
2020-08-04,31,Alabama,8
2020-08-05,31,Alabama,8
2020-08-06,31,Alabama,8
2020-08-07,31,Alabama,8
2020-08-08,32,Alabama,8
2020-08-09,32,Alabama,8
2020-08-10,32,Alabama,8
2020-08-11,33,Alabama,8
2020-08-12,32,Alabama,8
2020-08-13,32,Alabama,8
2020-08-14,31,Alabama,8
2020-08-15,30,Alabama,0
2020-08-16,33,Alabama,8
2020-08-17,31,Alabama,8
2020-08-18,32,Alabama,8
2020-08-19,31,Alabama,8
2020-08-20,30,Alabama,0
2020-08-21,29,Alabama,7
2020-08-22,30,Alabama,0
2020-08-23,30,Alabama,0
2020-08-24,28,Alabama,7
2020-08-25,29,Alabama,7
2020-08-26,30,Alabama,0
2020-08-27,30,Alabama,0
2020-08-28,30,Alabama,0
2020-08-29,31,Alabama,8
2020-08-30,31,Alabama,8
2020-08-31,31,Alabama,8
2020-09-01,31,Alabama,8
2020-09-02,30,Alabama,0
2020-09-03,31,Alabama,8
2020-09-04,33,Alabama,8
2020-09-05,32,Alabama,8
2020-09-06,32,Alabama,8
2020-09-07,31,Alabama,8
2020-09-08,30,Alabama,0
2020-09-09,30,Alabama,0
2020-09-10,30,Alabama,0
2020-09-11,31,Alabama,8
2020-09-12,30,Alabama,0
2020-09-13,31,Alabama,8
2020-09-14,26,Alabama,7
2020-09-15,27,Alabama,7
2020-09-16,28,Alabama,7
2020-09-17,28,Alabama,7
2020-09-18,24,Alabama,7
2020-09-19,22,Alabama,7
